text,prob
Word: fiind is detected as offensive with the prob: ,0.8128313821155118
Word: familia is detected as offensive with the prob: ,0.906964306990273
Word: sex is detected as offensive with the prob: ,0.9749387067097036
Word: luni is detected as offensive with the prob: ,0.9863356516694463
Word: varsta is detected as offensive with the prob: ,0.905991874491337
Word: puternic is detected as offensive with the prob: ,0.8750892286893827
Word: apar is detected as offensive with the prob: ,0.8560546195956438
Word: varsta is detected as offensive with the prob: ,0.905991874491337
Word: mici is detected as offensive with the prob: ,0.95966288873067
Word: folosit is detected as offensive with the prob: ,0.918178936943509
Word: conform is detected as offensive with the prob: ,0.8092970462069987
Word: special is detected as offensive with the prob: ,0.8897550645555103
Word: fiind is detected as offensive with the prob: ,0.8128313821155118
Word: milioane is detected as offensive with the prob: ,0.9225354743849532
Word: fiind is detected as offensive with the prob: ,0.8128313821155118
Word: fiind is detected as offensive with the prob: ,0.8128313821155118
Word: milioane is detected as offensive with the prob: ,0.9225354743849532
Word: cm is detected as offensive with the prob: ,0.9193970083553562
Word: mici is detected as offensive with the prob: ,0.95966288873067
Word: milioane is detected as offensive with the prob: ,0.9225354743849532
Word: dintii is detected as offensive with the prob: ,0.859418182203887
Word: reducerea is detected as offensive with the prob: ,0.8707780576873256
Word: milioane is detected as offensive with the prob: ,0.9225354743849532
Word: mare is detected as offensive with the prob: ,0.8437883463603395
Word: fiind is detected as offensive with the prob: ,0.8128313821155118
Word: cm is detected as offensive with the prob: ,0.9193970083553562
Word: putin is detected as offensive with the prob: ,0.8772314468337669
Word: milioane is detected as offensive with the prob: ,0.9225354743849532
Word: mare is detected as offensive with the prob: ,0.8437883463603395
Word: familia is detected as offensive with the prob: ,0.906964306990273
Word: fiind is detected as offensive with the prob: ,0.8128313821155118
Word: apar is detected as offensive with the prob: ,0.8560546195956438
Word: repede is detected as offensive with the prob: ,0.8862820153853231
Word: milioane is detected as offensive with the prob: ,0.9225354743849532
Word: dintii is detected as offensive with the prob: ,0.859418182203887
Word: iau is detected as offensive with the prob: ,0.8132673303409085
Word: mare is detected as offensive with the prob: ,0.8437883463603395
Word: milioane is detected as offensive with the prob: ,0.9225354743849532
Word: milioane is detected as offensive with the prob: ,0.9225354743849532
Word: fiind is detected as offensive with the prob: ,0.8128313821155118
Word: secolul is detected as offensive with the prob: ,0.8879651983751804
Word: sex is detected as offensive with the prob: ,0.9749387067097036
Word: fiind is detected as offensive with the prob: ,0.8128313821155118
Word: an is detected as offensive with the prob: ,0.8289898387597102
Word: luni is detected as offensive with the prob: ,0.9863356516694463
Word: descrierea is detected as offensive with the prob: ,0.9792830414708256
Word: secolul is detected as offensive with the prob: ,0.8879651983751804
Word: varsta is detected as offensive with the prob: ,0.905991874491337
Word: varsta is detected as offensive with the prob: ,0.905991874491337
Word: varsta is detected as offensive with the prob: ,0.905991874491337
Word: varsta is detected as offensive with the prob: ,0.905991874491337
Word: putin is detected as offensive with the prob: ,0.8772314468337669
Word: putin is detected as offensive with the prob: ,0.8772314468337669
Word: cap is detected as offensive with the prob: ,0.9855404244379893
Word: limba is detected as offensive with the prob: ,0.8338093160062184
Word: mm is detected as offensive with the prob: ,0.9550320549247007
Word: total is detected as offensive with the prob: ,0.9487598323684494
Word: plus is detected as offensive with the prob: ,0.9546728185804341
Word: total is detected as offensive with the prob: ,0.9487598323684494
Word: cm is detected as offensive with the prob: ,0.9193970083553562
Word: cm is detected as offensive with the prob: ,0.9193970083553562
Word: kg is detected as offensive with the prob: ,0.9398577132865793
Word: cm is detected as offensive with the prob: ,0.9193970083553562
Word: kg is detected as offensive with the prob: ,0.9398577132865793
Word: putin is detected as offensive with the prob: ,0.8772314468337669
Word: cm is detected as offensive with the prob: ,0.9193970083553562
Word: cm is detected as offensive with the prob: ,0.9193970083553562
Word: kg is detected as offensive with the prob: ,0.9398577132865793
Word: mare is detected as offensive with the prob: ,0.8437883463603395
Word: probabil is detected as offensive with the prob: ,0.874084919522436
Word: cm is detected as offensive with the prob: ,0.9193970083553562
Word: kg is detected as offensive with the prob: ,0.9398577132865793
Word: cm is detected as offensive with the prob: ,0.9193970083553562
Word: kg is detected as offensive with the prob: ,0.9398577132865793
Word: special is detected as offensive with the prob: ,0.8897550645555103
Word: asemenea is detected as offensive with the prob: ,0.8556340314511248
Word: inclusiv is detected as offensive with the prob: ,0.8064357621495448
Word: cm is detected as offensive with the prob: ,0.9193970083553562
Word: putin is detected as offensive with the prob: ,0.8772314468337669
Word: cm is detected as offensive with the prob: ,0.9193970083553562
Word: cm is detected as offensive with the prob: ,0.9193970083553562
Word: foloseste is detected as offensive with the prob: ,0.8705095692018959
Word: fiind is detected as offensive with the prob: ,0.8128313821155118
Word: putin is detected as offensive with the prob: ,0.8772314468337669
Word: putin is detected as offensive with the prob: ,0.8772314468337669
Word: cm is detected as offensive with the prob: ,0.9193970083553562
Word: iau is detected as offensive with the prob: ,0.8132673303409085
Word: schimb is detected as offensive with the prob: ,0.9347908749969817
Word: caracteristici is detected as offensive with the prob: ,0.8036269272734037
Word: mici is detected as offensive with the prob: ,0.95966288873067
Word: mare is detected as offensive with the prob: ,0.8437883463603395
Word: inteligenta is detected as offensive with the prob: ,0.8303013353089043
Word: cm is detected as offensive with the prob: ,0.9193970083553562
Word: mici is detected as offensive with the prob: ,0.95966288873067
Word: produse is detected as offensive with the prob: ,0.9550719580390032
Word: produsul is detected as offensive with the prob: ,0.9988529869337688
Word: plus is detected as offensive with the prob: ,0.9546728185804341
Word: cautati is detected as offensive with the prob: ,0.8493656022538836
